"externalId","stationId","legacyId","name","capacity"
"a3a9c0f6-a135-11e9-9cda-0a87ae2ba916","a3a9c0f6-a135-11e9-9cda-0a87ae2ba916",,"Morgan St & 31st St",11
"a3b2d7d9-a135-11e9-9cda-0a87ae2ba916","a3b2d7d9-a135-11e9-9cda-0a87ae2ba916",,"Western Blvd & 48th Pl",11
"a3a96aca-a135-11e9-9cda-0a87ae2ba916","a3a96aca-a135-11e9-9cda-0a87ae2ba916",,"Halsted St & 37th St",11
"a3ad13e4-a135-11e9-9cda-0a87ae2ba916","a3ad13e4-a135-11e9-9cda-0a87ae2ba916",,"Shields Ave & 28th Pl",11
"a3b10a40-a135-11e9-9cda-0a87ae2ba916","a3b10a40-a135-11e9-9cda-0a87ae2ba916",,"Pulaski Rd & Lake St",11
"a3b13e66-a135-11e9-9cda-0a87ae2ba916","a3b13e66-a135-11e9-9cda-0a87ae2ba916",,"Cicero Ave & Flournoy St",11
"a3b20960-a135-11e9-9cda-0a87ae2ba916","a3b20960-a135-11e9-9cda-0a87ae2ba916",,"Damen Ave & 51st St",7
"a3a72012-a135-11e9-9cda-0a87ae2ba916","a3a72012-a135-11e9-9cda-0a87ae2ba916",,"Rush St & Cedar St",11
"a3a9c5f7-a135-11e9-9cda-0a87ae2ba916","a3a9c5f7-a135-11e9-9cda-0a87ae2ba916",,"Western Ave & 24th St",7
"a3acb1de-a135-11e9-9cda-0a87ae2ba916","a3acb1de-a135-11e9-9cda-0a87ae2ba916",,"California Ave & Lake St",11
"a3acea44-a135-11e9-9cda-0a87ae2ba916","a3acea44-a135-11e9-9cda-0a87ae2ba916",,"Calumet Ave & 71st St",11
"a3b2d2b7-a135-11e9-9cda-0a87ae2ba916","a3b2d2b7-a135-11e9-9cda-0a87ae2ba916",,"Halsted St & 59th St",11
"a3b11480-a135-11e9-9cda-0a87ae2ba916","a3b11480-a135-11e9-9cda-0a87ae2ba916",,"Laramie Ave & Kinzie St",11
"a3a5f5e6-a135-11e9-9cda-0a87ae2ba916","a3a5f5e6-a135-11e9-9cda-0a87ae2ba916",,"Halsted St & 21st St",11
"a3ad2d57-a135-11e9-9cda-0a87ae2ba916","a3ad2d57-a135-11e9-9cda-0a87ae2ba916",,"State St & Pershing Rd",11
"a3ad7636-a135-11e9-9cda-0a87ae2ba916","a3ad7636-a135-11e9-9cda-0a87ae2ba916",,"MLK Jr Dr & 56th St",11
"a3a528d0-a135-11e9-9cda-0a87ae2ba916","a3a528d0-a135-11e9-9cda-0a87ae2ba916",,"Stony Island Ave & 64th St",11
"a3b2905a-a135-11e9-9cda-0a87ae2ba916","a3b2905a-a135-11e9-9cda-0a87ae2ba916",,"Exchange Ave & 79th St",11
"a3b1d532-a135-11e9-9cda-0a87ae2ba916","a3b1d532-a135-11e9-9cda-0a87ae2ba916",,"Austin Blvd & Madison St",11
"a3b13836-a135-11e9-9cda-0a87ae2ba916","a3b13836-a135-11e9-9cda-0a87ae2ba916",,"Kenton Ave & Madison St",11
"a3b2862e-a135-11e9-9cda-0a87ae2ba916","a3b2862e-a135-11e9-9cda-0a87ae2ba916",,"Bennett Ave & 79th St",11
"a3b1fa1c-a135-11e9-9cda-0a87ae2ba916","a3b1fa1c-a135-11e9-9cda-0a87ae2ba916",,"Hoyne Ave & 47th St",11
"a3b24701-a135-11e9-9cda-0a87ae2ba916","a3b24701-a135-11e9-9cda-0a87ae2ba916",,"Damen Ave & 74th St",11
"a3b29fae-a135-11e9-9cda-0a87ae2ba916","a3b29fae-a135-11e9-9cda-0a87ae2ba916",,"Stony Island Ave & 82nd St",11
"a3b23785-a135-11e9-9cda-0a87ae2ba916","a3b23785-a135-11e9-9cda-0a87ae2ba916",,"Ashland Ave & 63rd St",11
"90011328-f7bd-4b7b-8f95-8204a0b50f27","90011328-f7bd-4b7b-8f95-8204a0b50f27",,"Wells St & Institute Pl",11
"a3b23cb8-a135-11e9-9cda-0a87ae2ba916","a3b23cb8-a135-11e9-9cda-0a87ae2ba916",,"Racine Ave & 65th St",11
"a3b2be3a-a135-11e9-9cda-0a87ae2ba916","a3b2be3a-a135-11e9-9cda-0a87ae2ba916",,"Milwaukee Ave & Cuyler Ave",11
"a3addda0-a135-11e9-9cda-0a87ae2ba916","a3addda0-a135-11e9-9cda-0a87ae2ba916",,"Kedzie Ave & 24th St",11
"a3b1c47b-a135-11e9-9cda-0a87ae2ba916","a3b1c47b-a135-11e9-9cda-0a87ae2ba916",,"Central Ave & Harrison St",11
"a3b148bf-a135-11e9-9cda-0a87ae2ba916","a3b148bf-a135-11e9-9cda-0a87ae2ba916",,"Laramie Ave & Madison St",11
"a3b22d3d-a135-11e9-9cda-0a87ae2ba916","a3b22d3d-a135-11e9-9cda-0a87ae2ba916",,"Damen Ave & 59th St",11
"a3b222fc-a135-11e9-9cda-0a87ae2ba916","a3b222fc-a135-11e9-9cda-0a87ae2ba916",,"Racine Ave & Garfield Blvd",11
"a3acdae2-a135-11e9-9cda-0a87ae2ba916","a3acdae2-a135-11e9-9cda-0a87ae2ba916",,"Wentworth Ave & 63rd St",11
"a3ac35ed-a135-11e9-9cda-0a87ae2ba916","a3ac35ed-a135-11e9-9cda-0a87ae2ba916",,"Jeffery Blvd & 67th St",11
"da9e6779-5056-4d45-bae3-9dc325ed2807","da9e6779-5056-4d45-bae3-9dc325ed2807",,"Hale Ave & 107th St",11
"a3b1efd6-a135-11e9-9cda-0a87ae2ba916","a3b1efd6-a135-11e9-9cda-0a87ae2ba916",,"Marshfield Ave & 44th St",11
"a3b22815-a135-11e9-9cda-0a87ae2ba916","a3b22815-a135-11e9-9cda-0a87ae2ba916",,"Marshfield Ave & 59th St",11
"a3b46866-a135-11e9-9cda-0a87ae2ba916","a3b46866-a135-11e9-9cda-0a87ae2ba916",,"Rhodes Ave & 71st St",11
"a3b453f2-a135-11e9-9cda-0a87ae2ba916","a3b453f2-a135-11e9-9cda-0a87ae2ba916",,"Carpenter St & 63rd St",7
"a3b2810e-a135-11e9-9cda-0a87ae2ba916","a3b2810e-a135-11e9-9cda-0a87ae2ba916",,"Stony Island Ave & South Chicago Ave",11
"a3ad42c3-a135-11e9-9cda-0a87ae2ba916","a3ad42c3-a135-11e9-9cda-0a87ae2ba916",,"Halsted St & 47th Pl",11
"a3b45e26-a135-11e9-9cda-0a87ae2ba916","a3b45e26-a135-11e9-9cda-0a87ae2ba916",,"Eggleston Ave & 69th St",11
"a3acd5b1-a135-11e9-9cda-0a87ae2ba916","a3acd5b1-a135-11e9-9cda-0a87ae2ba916",,"Halsted St & 63rd St",11
"a3b35885-a135-11e9-9cda-0a87ae2ba916","a3b35885-a135-11e9-9cda-0a87ae2ba916",,"Keystone Ave & Fullerton Ave",11
"a3b26acf-a135-11e9-9cda-0a87ae2ba916","a3b26acf-a135-11e9-9cda-0a87ae2ba916",,"State St & 79th St",11
"61695579-2f75-4090-a071-c76079b5fb5d","61695579-2f75-4090-a071-c76079b5fb5d",,"Michigan Ave & 71st St",7
"a3af5804-a135-11e9-9cda-0a87ae2ba916","a3af5804-a135-11e9-9cda-0a87ae2ba916",,"Ridge Blvd & Touhy Ave",11
"a3a7d279-a135-11e9-9cda-0a87ae2ba916","a3a7d279-a135-11e9-9cda-0a87ae2ba916",,"Normal Ave & Archer Ave",11
"a3a88a6d-a135-11e9-9cda-0a87ae2ba916","a3a88a6d-a135-11e9-9cda-0a87ae2ba916",,"Ashland Ave & Belle Plaine Ave",11
"a3a9acc5-a135-11e9-9cda-0a87ae2ba916","a3a9acc5-a135-11e9-9cda-0a87ae2ba916",,"California Ave & North Ave",11
"a3b0d6ec-a135-11e9-9cda-0a87ae2ba916","a3b0d6ec-a135-11e9-9cda-0a87ae2ba916",,"Clark St & Jarvis Ave",11
"a3b26084-a135-11e9-9cda-0a87ae2ba916","a3b26084-a135-11e9-9cda-0a87ae2ba916",,"Vernon Ave & 75th St",11
"1861588043429399408","1861588043429399408",,"McCormick Blvd & Devon Ave",11
"a3af2216-a135-11e9-9cda-0a87ae2ba916","a3af2216-a135-11e9-9cda-0a87ae2ba916",,"2112 W Peterson Ave",11
"a3ad7b51-a135-11e9-9cda-0a87ae2ba916","a3ad7b51-a135-11e9-9cda-0a87ae2ba916",,"DuSable Museum",11
"a3aa5ed1-a135-11e9-9cda-0a87ae2ba916","a3aa5ed1-a135-11e9-9cda-0a87ae2ba916",,"Damen Ave & Charleston St",11
"a3aa59bb-a135-11e9-9cda-0a87ae2ba916","a3aa59bb-a135-11e9-9cda-0a87ae2ba916",,"Leavitt St & Armitage Ave",11
"a3b25656-a135-11e9-9cda-0a87ae2ba916","a3b25656-a135-11e9-9cda-0a87ae2ba916",,"Woodlawn Ave & 75th St",11
"a3b218cd-a135-11e9-9cda-0a87ae2ba916","a3b218cd-a135-11e9-9cda-0a87ae2ba916",,"Seeley Ave & Garfield Blvd",11
"a3b1ff34-a135-11e9-9cda-0a87ae2ba916","a3b1ff34-a135-11e9-9cda-0a87ae2ba916",,"Ashland Ave & McDowell Ave",11
"a3aca268-a135-11e9-9cda-0a87ae2ba916","a3aca268-a135-11e9-9cda-0a87ae2ba916",,"Sacramento Blvd & Franklin Blvd",11
"a3b42a3e-a135-11e9-9cda-0a87ae2ba916","a3b42a3e-a135-11e9-9cda-0a87ae2ba916",,"Bernard St & Elston Ave",11
"8995498f-1209-4b06-9317-01cd695b3b61","8995498f-1209-4b06-9317-01cd695b3b61",,"Franklin St & Illinois St",11
"a3b29a90-a135-11e9-9cda-0a87ae2ba916","a3b29a90-a135-11e9-9cda-0a87ae2ba916",,"Phillips Ave & 83rd St",11
"a3adbedf-a135-11e9-9cda-0a87ae2ba916","a3adbedf-a135-11e9-9cda-0a87ae2ba916",,"Kedzie Ave & Roosevelt Rd",11
"a3b241df-a135-11e9-9cda-0a87ae2ba916","a3b241df-a135-11e9-9cda-0a87ae2ba916",,"Ashland Ave & 66th St",7
"c1f104db-9ee7-4999-bd4a-ddd766c75e04","c1f104db-9ee7-4999-bd4a-ddd766c75e04",,"Burnham Greenway & 105th St",11
"a3add889-a135-11e9-9cda-0a87ae2ba916","a3add889-a135-11e9-9cda-0a87ae2ba916",,"Central Park Ave & 24th St",11
"a3b2b92c-a135-11e9-9cda-0a87ae2ba916","a3b2b92c-a135-11e9-9cda-0a87ae2ba916",,"South Chicago Ave & 83rd St",11
"a3b0eb93-a135-11e9-9cda-0a87ae2ba916","a3b0eb93-a135-11e9-9cda-0a87ae2ba916",,"Bosworth Ave & Howard St",11
"a3b4728f-a135-11e9-9cda-0a87ae2ba916","a3b4728f-a135-11e9-9cda-0a87ae2ba916",,"Racine Ave & Washington Blvd",11
"a3b21de7-a135-11e9-9cda-0a87ae2ba916","a3b21de7-a135-11e9-9cda-0a87ae2ba916",,"Ashland Ave & Garfield Blvd",11
"a3b10f66-a135-11e9-9cda-0a87ae2ba916","a3b10f66-a135-11e9-9cda-0a87ae2ba916",,"Cicero Ave & Lake St",11
"a3b11993-a135-11e9-9cda-0a87ae2ba916","a3b11993-a135-11e9-9cda-0a87ae2ba916",,"Central Ave & Lake St",11
"a3a57a52-a135-11e9-9cda-0a87ae2ba916","a3a57a52-a135-11e9-9cda-0a87ae2ba916",,"Green St & Washington Blvd",11
"a3af624c-a135-11e9-9cda-0a87ae2ba916","a3af624c-a135-11e9-9cda-0a87ae2ba916",,"Budlong Woods Library",11
"a3b1eaa7-a135-11e9-9cda-0a87ae2ba916","a3b1eaa7-a135-11e9-9cda-0a87ae2ba916",,"Morgan St & Pershing Rd",7
"1850867138125484782","1850867138125484782",,"Woodlawn Ave & 58th St",11
"1754781885939323186","1754781885939323186",,"Stony Island Ave & 63rd St",11
"a3ac7978-a135-11e9-9cda-0a87ae2ba916","a3ac7978-a135-11e9-9cda-0a87ae2ba916",,"Loomis St & Archer Ave",11
"a3b20e8a-a135-11e9-9cda-0a87ae2ba916","a3b20e8a-a135-11e9-9cda-0a87ae2ba916",,"Ashland Ave & 50th St",11
"a3ad9ad9-a135-11e9-9cda-0a87ae2ba916","a3ad9ad9-a135-11e9-9cda-0a87ae2ba916",,"Dorchester Ave & 63rd St",11
"a3acd078-a135-11e9-9cda-0a87ae2ba916","a3acd078-a135-11e9-9cda-0a87ae2ba916",,"Halsted St & 56th St",11
"a3af9064-a135-11e9-9cda-0a87ae2ba916","a3af9064-a135-11e9-9cda-0a87ae2ba916",,"Manor Ave & Leland Ave",11
"a3ac4a7c-a135-11e9-9cda-0a87ae2ba916","a3ac4a7c-a135-11e9-9cda-0a87ae2ba916",,"Stony Island Ave & 71st St",11
"a3af9f99-a135-11e9-9cda-0a87ae2ba916","a3af9f99-a135-11e9-9cda-0a87ae2ba916",,"Albany Ave & Montrose Ave",11
"a3a7a4fc-a135-11e9-9cda-0a87ae2ba916","a3a7a4fc-a135-11e9-9cda-0a87ae2ba916",,"MLK Jr Dr & 47th St",11
"a3b42f5f-a135-11e9-9cda-0a87ae2ba916","a3b42f5f-a135-11e9-9cda-0a87ae2ba916",,"Central Park Ave & Bloomingdale Ave",11
"a3b128de-a135-11e9-9cda-0a87ae2ba916","a3b128de-a135-11e9-9cda-0a87ae2ba916",,"Karlov Ave & Madison St",11
"a3b2b419-a135-11e9-9cda-0a87ae2ba916","a3b2b419-a135-11e9-9cda-0a87ae2ba916",,"Wabash Ave & 83rd St",11
"a3ade2c3-a135-11e9-9cda-0a87ae2ba916","a3ade2c3-a135-11e9-9cda-0a87ae2ba916",,"California Ave & 23rd Pl",11
"a3ada002-a135-11e9-9cda-0a87ae2ba916","a3ada002-a135-11e9-9cda-0a87ae2ba916",,"Cottage Grove Ave & 67th St",11
"a3b1db23-a135-11e9-9cda-0a87ae2ba916","a3b1db23-a135-11e9-9cda-0a87ae2ba916",,"Kostner Ave & Adams St",11
"a3b1cf80-a135-11e9-9cda-0a87ae2ba916","a3b1cf80-a135-11e9-9cda-0a87ae2ba916",,"Laramie Ave & Gladys Ave",11
"a3b43eb7-a135-11e9-9cda-0a87ae2ba916","a3b43eb7-a135-11e9-9cda-0a87ae2ba916",,"Western Ave & Fillmore St",11
"a3b2659d-a135-11e9-9cda-0a87ae2ba916","a3b2659d-a135-11e9-9cda-0a87ae2ba916",,"State St & 76th St",11
"a3add365-a135-11e9-9cda-0a87ae2ba916","a3add365-a135-11e9-9cda-0a87ae2ba916",,"Kedzie Ave & 21st St",11
"a3b28b4a-a135-11e9-9cda-0a87ae2ba916","a3b28b4a-a135-11e9-9cda-0a87ae2ba916",,"Phillips Ave & 79th St",11
"a3ae82e0-a135-11e9-9cda-0a87ae2ba916","a3ae82e0-a135-11e9-9cda-0a87ae2ba916",,"Warren Park West",11
"a3afc858-a135-11e9-9cda-0a87ae2ba916","a3afc858-a135-11e9-9cda-0a87ae2ba916",,"Pulaski Rd & Eddy St",11
"a3a7b936-a135-11e9-9cda-0a87ae2ba916","a3a7b936-a135-11e9-9cda-0a87ae2ba916",,"Prairie Ave & Garfield Blvd",11
"a3af1cec-a135-11e9-9cda-0a87ae2ba916","a3af1cec-a135-11e9-9cda-0a87ae2ba916",,"Maplewood Ave & Peterson Ave",11
"a3a706c0-a135-11e9-9cda-0a87ae2ba916","a3a706c0-a135-11e9-9cda-0a87ae2ba916",,"Damen Ave & Coulter St",7
"a3ac9834-a135-11e9-9cda-0a87ae2ba916","a3ac9834-a135-11e9-9cda-0a87ae2ba916",,"Kedzie Ave & Chicago Ave",11
"a3b0f5c9-a135-11e9-9cda-0a87ae2ba916","a3b0f5c9-a135-11e9-9cda-0a87ae2ba916",,"Austin Blvd & Chicago Ave",7
"a3b2956a-a135-11e9-9cda-0a87ae2ba916","a3b2956a-a135-11e9-9cda-0a87ae2ba916",,"Commercial Ave & 83rd St",11
"a3b2dcf0-a135-11e9-9cda-0a87ae2ba916","a3b2dcf0-a135-11e9-9cda-0a87ae2ba916",,"Wabash Ave & 87th St",11
"a3b0dc1f-a135-11e9-9cda-0a87ae2ba916","a3b0dc1f-a135-11e9-9cda-0a87ae2ba916",,"Conservatory Dr & Lake St",11
"a3a3983e-a135-11e9-9cda-0a87ae2ba916","a3a3983e-a135-11e9-9cda-0a87ae2ba916",,"Jeffery Blvd & 71st St",11
"a3b4aa91-a135-11e9-9cda-0a87ae2ba916","a3b4aa91-a135-11e9-9cda-0a87ae2ba916",,"South Chicago Ave & Elliot Ave",7
"a3aaf7bc-a135-11e9-9cda-0a87ae2ba916","a3aaf7bc-a135-11e9-9cda-0a87ae2ba916",,"Emerald Ave & 31st St",11
"1775509322900183222","1775509322900183222",,"Elizabeth St & Randolph St",11
"a3acfa38-a135-11e9-9cda-0a87ae2ba916","a3acfa38-a135-11e9-9cda-0a87ae2ba916",,"Yates Blvd & 75th St",11
"a3ada52f-a135-11e9-9cda-0a87ae2ba916","a3ada52f-a135-11e9-9cda-0a87ae2ba916",,"MLK Jr Dr & 63rd St",11
"98fe78dc-4efa-4b39-a47c-0d94abcdb221","98fe78dc-4efa-4b39-a47c-0d94abcdb221",,"Ewing Ave & Burnham Greenway",11
